#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
322407:7135,09/07/18 18:04:27,487,487,0.161630156,0.153708918
322430:7137,09/08/18 02:10:36,292,292,0.101769346,0.098347207
322431:7137,09/08/18 06:34:56,1008,1008,0.199992315,0.193491095
322480:7139,09/08/18 17:40:13,241,241,0.085452821,0.081591153
322492:7139,09/08/18 20:58:46,1106,1106,0.238039434,0.229888479
322599:7144,09/09/18 17:12:13,30,30,0.011638636,0.010229580
322602:7144,09/09/18 17:40:47,23,23,0.008604051,0.007914592
322603:7144,09/09/18 18:08:09,10,10,0.003641608,0.002693892
322605:7144,09/09/18 18:13:23,271,271,0.090428460,0.087316148
322617:7144,09/09/18 21:13:20,532,532,0.126540844,0.121897652
322625:7145,09/10/18 04:30:03,824,824,0.243086352,0.234564178
322633:7145,09/10/18 10:51:34,245,245,0.051822152,0.050162094
323414:7213,09/24/18 01:57:29,21,21,0.004005982,0.003721210
323423:7213,09/24/18 05:01:48,133,133,0.021797476,0.021037074
323470:7217,09/24/18 14:51:34,58,58,0.021355330,0.020305503
323471:7217,09/24/18 15:18:19,168,168,0.058346628,0.054509758
323472:7217,09/24/18 16:51:04,63,63,0.020011964,0.019003615
323473:7217,09/24/18 17:40:41,193,193,0.054728751,0.052080900
323474:7217,09/24/18 19:42:20,299,299,0.068573268,0.066320030
323475:7217,09/24/18 22:00:42,75,75,0.014544255,0.013931701
323487:7218,09/25/18 03:50:05,342,342,0.121957249,0.117431645
323488:7218,09/25/18 06:30:08,649,649,0.168012235,0.162174539
323492:7218,09/25/18 11:47:40,6,6,0.001294434,0.001247278
323493:7218,09/25/18 11:59:47,116,116,0.023335652,0.022569880
323495:7218,09/25/18 12:54:54,174,174,0.031284159,0.030441210
323524:7221,09/25/18 22:36:20,481,481,0.162959535,0.157268375
323525:7221,09/26/18 02:05:25,1018,1018,0.226546864,0.218691883
323526:7221,09/26/18 09:22:43,459,459,0.066082315,0.064540153
323693:7234,09/29/18 02:15:28,41,41,0.016013195,0.014719486
323696:7234,09/29/18 02:33:10,226,226,0.082511257,0.078846475
323702:7234,09/29/18 08:58:07,641,641,0.122348070,0.119045084
323725:7236,09/29/18 19:37:19,155,155,0.057861145,0.054812633
323726:7236,09/29/18 20:49:58,50,50,0.017409216,0.013729629
