#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
323727:7236,09/29/18 21:21:14,915,915,0.239423930,0.231221748
323755:7239,09/30/18 12:43:12,638,638,0.198499481,0.191264613
323775:7240,09/30/18 20:33:35,17,17,0.006655351,0.006143253
323778:7240,09/30/18 20:41:26,918,918,0.278185916,0.266418829
323790:7242,10/01/18 08:10:47,798,798,0.252689184,0.242288191
323794:7242,10/01/18 13:29:17,68,68,0.016768359,0.016056603
323841:7245,10/01/18 23:56:54,399,399,0.139598697,0.133298589
323857:7245,10/02/18 02:35:30,357,357,0.098889061,0.095513180
323940:7252,10/03/18 02:47:12,1267,1267,0.347744046,0.332990574
323954:7252,10/03/18 11:06:37,77,77,0.015712808,0.015140930
323980:7253,10/03/18 14:54:19,187,187,0.068535627,0.065246883
323983:7253,10/03/18 16:11:58,184,184,0.059689775,0.056791397
323997:7253,10/03/18 17:30:39,493,493,0.133168791,0.127400247
324021:7256,10/04/18 03:19:57,524,524,0.172137314,0.163530907
324022:7256,10/04/18 06:50:15,546,546,0.130088431,0.126050712
324077:7259,10/04/18 23:49:08,443,443,0.151524620,0.145755247
324201:7264,10/07/18 00:26:17,1269,1269,0.348039403,0.335026506
324202:7264,10/07/18 08:49:38,229,229,0.038561430,0.037723193
324205:7264,10/07/18 10:31:04,159,159,0.023523350,0.022812439
324206:7264,10/07/18 11:38:14,130,130,0.017638686,0.017122927
324207:7264,10/07/18 12:44:24,33,33,0.004195281,0.004054579
324209:7264,10/07/18 13:02:20,140,140,0.016223087,0.015916718
324237:7265,10/07/18 22:24:45,63,63,0.023879167,0.022764849
324245:7266,10/08/18 01:59:28,1535,1535,0.396604098,0.381536102
324293:7270,10/08/18 23:55:38,2108,2108,0.468826156,0.453647533
324315:7271,10/09/18 16:50:47,136,136,0.049712000,0.047402372
324318:7271,10/09/18 17:53:42,329,329,0.103665802,0.099264127
324420:7274,10/11/18 00:26:07,620,620,0.207832556,0.198118749
324729:7308,10/16/18 09:28:04,180,180,0.014437232,0.013934760
324747:7309,10/16/18 13:11:58,889,889,0.257237432,0.246415626
324764:7309,10/16/18 19:54:47,139,139,0.030307225,0.029216758
324765:7309,10/16/18 20:52:50,473,473,0.089453357,0.086684591
324769:7309,10/16/18 23:59:45,328,328,0.047990107,0.046770044
324772:7309,10/17/18 02:48:00,162,162,0.018830988,0.018431834
324785:7310,10/17/18 06:34:19,494,494,0.162251393,0.156058270
324791:7310,10/17/18 10:04:47,1172,1172,0.243628729,0.236040862
324835:7314,10/17/18 23:15:18,132,132,0.048656539,0.042242643
324840:7314,10/18/18 00:41:14,90,90,0.030287131,0.027721689
324841:7314,10/18/18 01:18:35,1278,1278,0.297106244,0.286568654
324846:7314,10/18/18 10:06:07,515,515,0.070651043,0.068552956
324878:7315,10/18/18 16:24:36,1649,1649,0.396463866,0.382777973
324897:7317,10/19/18 07:21:51,32,32,0.012044326,0.011331963
324970:7320,10/19/18 16:52:35,1935,1935,0.416054777,0.400689162
324980:7321,10/20/18 09:20:53,2056,2056,0.462030584,0.443211600
324997:7324,10/21/18 05:08:46,26,26,0.009753092,0.008271442
324998:7324,10/21/18 05:23:14,335,335,0.113138939,0.106436492
324999:7324,10/21/18 07:47:28,2,2,0.000599225,0.000419931
325000:7324,10/21/18 08:04:18,242,242,0.063857247,0.061258305
325001:7324,10/21/18 10:29:40,572,572,0.118847226,0.114832368
325022:7328,10/21/18 23:19:59,285,285,0.059616162,0.057655947
325057:7331,10/22/18 15:01:34,203,203,0.073647755,0.070260933
325099:7333,10/22/18 22:31:41,278,278,0.101301414,0.096767290
325100:7333,10/23/18 00:24:31,250,250,0.077707177,0.073851837
325101:7333,10/23/18 02:07:46,480,480,0.122251898,0.117784313
325110:7333,10/23/18 05:50:07,12,12,0.002543031,0.002428554
325117:7333,10/23/18 07:39:08,528,528,0.087463716,0.084711919
325159:7334,10/23/18 14:48:30,185,185,0.059639129,0.056253900
325168:7334,10/23/18 16:09:33,18,18,0.005526891,0.004288854
325169:7334,10/23/18 16:19:28,23,23,0.006960291,0.005577620
325170:7334,10/23/18 16:31:17,1178,1178,0.267225856,0.258049089
325172:7334,10/24/18 00:23:24,417,417,0.061048931,0.059140027
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#94,222,105861,105861,26.394091237,25.428858874
#Check JSON:
#(run,ls) in json but not in results: []
