#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
322605:7144,09/09/18 18:13:23,278,278,0.092827218,0.089623887
322617:7144,09/09/18 21:13:20,599,599,0.141137555,0.136102990
322625:7145,09/10/18 04:25:23,976,976,0.293257948,0.282987954
322633:7145,09/10/18 10:51:34,249,249,0.052624689,0.050945617
323414:7213,09/24/18 01:57:29,23,23,0.004416129,0.003946606
323423:7213,09/24/18 05:01:48,132,132,0.021635307,0.020880624
323470:7217,09/24/18 14:51:34,60,60,0.022110719,0.021036199
323471:7217,09/24/18 15:18:19,232,232,0.080490088,0.075495647
323472:7217,09/24/18 16:51:04,63,63,0.020011964,0.019003615
323473:7217,09/24/18 17:40:41,202,202,0.057248182,0.054519627
323474:7217,09/24/18 19:42:20,350,350,0.079893576,0.077340289
323475:7217,09/24/18 22:00:42,77,77,0.014812315,0.014194080
323487:7218,09/25/18 03:50:05,372,372,0.132163827,0.127189085
323488:7218,09/25/18 06:30:08,745,745,0.193196247,0.186197456
323492:7218,09/25/18 11:45:43,27,27,0.005828423,0.005612213
323493:7218,09/25/18 11:58:37,126,126,0.025586895,0.024771833
323495:7218,09/25/18 12:54:31,157,157,0.027975927,0.026876044
323524:7221,09/25/18 22:36:20,522,522,0.176608986,0.170269446
323525:7221,09/26/18 02:05:25,1067,1067,0.241519161,0.232937592
323526:7221,09/26/18 09:23:06,452,452,0.064923428,0.063411924
323693:7234,09/29/18 02:15:28,41,41,0.016013195,0.014719486
323696:7234,09/29/18 02:33:10,257,257,0.093142025,0.088847729
323702:7234,09/29/18 08:56:34,806,806,0.149787229,0.145578214
323725:7236,09/29/18 19:37:19,107,107,0.040474999,0.038000226
323726:7236,09/29/18 20:51:08,16,16,0.005591605,0.004295097
323727:7236,09/29/18 21:22:01,869,869,0.223835263,0.216471741
323755:7239,09/30/18 12:43:12,706,706,0.220818733,0.212669996
323775:7240,09/30/18 20:33:35,17,17,0.006655351,0.006143253
323778:7240,09/30/18 20:41:26,923,923,0.280251147,0.268357749
323790:7242,10/01/18 08:13:30,647,647,0.203603093,0.195346221
323794:7242,10/01/18 13:29:17,66,66,0.016269351,0.015761618
323841:7245,10/01/18 23:56:54,373,373,0.130357301,0.124361429
323857:7245,10/02/18 02:35:30,353,353,0.097929493,0.094579582
323940:7252,10/03/18 02:47:12,1255,1255,0.344102268,0.329477935
323954:7252,10/03/18 11:06:37,77,77,0.015712808,0.015140930
323980:7253,10/03/18 14:54:19,185,185,0.067780537,0.064515115
323983:7253,10/03/18 16:11:58,181,181,0.058677644,0.055811900
323997:7253,10/03/18 17:30:39,463,463,0.125699957,0.120152951
324021:7256,10/04/18 03:19:57,523,523,0.171770162,0.163174450
324022:7256,10/04/18 06:50:15,554,554,0.131866343,0.127785561
324077:7259,10/04/18 23:49:08,461,461,0.157796776,0.151613878
