#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
322348:7131,09/06/18 14:41:32,1275,1275,0.361626603,0.347963097
322355:7132,09/07/18 01:39:53,11,11,0.004285599,0.003888166
322356:7132,09/07/18 01:45:19,770,770,0.239592783,0.231667590
322381:7133,09/07/18 11:48:13,433,433,0.148651235,0.142620622
322407:7135,09/07/18 18:04:27,444,444,0.147303841,0.140406797
322430:7137,09/08/18 02:10:36,323,323,0.111719267,0.108013133
322431:7137,09/08/18 06:34:56,1092,1092,0.217948032,0.210751954
322480:7139,09/08/18 17:40:13,314,314,0.110561556,0.104634997
322492:7139,09/08/18 20:58:22,1370,1370,0.293857556,0.283727897
322599:7144,09/09/18 17:12:13,61,61,0.023526385,0.021671667
322602:7144,09/09/18 17:40:01,67,67,0.025032163,0.023375069
322603:7144,09/09/18 18:08:09,10,10,0.003641608,0.002693892
322605:7144,09/09/18 18:13:23,275,275,0.091843127,0.088666937
322617:7144,09/09/18 21:13:20,597,597,0.140635138,0.135612618
322625:7145,09/10/18 04:25:23,947,947,0.285924925,0.276273741
322633:7145,09/10/18 10:51:34,246,246,0.051958401,0.050359512
323414:7213,09/24/18 01:57:29,22,22,0.004212148,0.003753371
323423:7213,09/24/18 05:01:48,130,130,0.021298633,0.020548767
323470:7217,09/24/18 14:51:34,56,56,0.020618697,0.019590842
323471:7217,09/24/18 15:18:19,228,228,0.079142461,0.074406691
323472:7217,09/24/18 16:51:04,62,62,0.019696449,0.018697883
323473:7217,09/24/18 17:40:41,195,195,0.055243179,0.052571954
323474:7217,09/24/18 19:42:20,349,349,0.079671946,0.077133752
323475:7217,09/24/18 22:00:42,77,77,0.014812315,0.014194080
323487:7218,09/25/18 03:50:05,371,371,0.131841873,0.126876121
323488:7218,09/25/18 06:30:08,733,733,0.189997074,0.183094915
323492:7218,09/25/18 11:45:43,28,28,0.006046351,0.005823197
323493:7218,09/25/18 11:58:37,139,139,0.028089522,0.027172544
323495:7218,09/25/18 12:54:31,185,185,0.033231890,0.031990508
323524:7221,09/25/18 22:36:20,526,526,0.178168628,0.171623849
323525:7221,09/26/18 02:05:25,1116,1116,0.251509113,0.242404023
323526:7221,09/26/18 09:22:43,462,462,0.066501059,0.064950697
323693:7234,09/29/18 02:15:28,41,41,0.016013195,0.014719486
323696:7234,09/29/18 02:33:10,154,154,0.056615178,0.053518328
323702:7234,09/29/18 08:56:57,791,791,0.147075812,0.143004412
323725:7236,09/29/18 19:37:19,169,169,0.063160036,0.059635878
323726:7236,09/29/18 20:49:58,53,53,0.018453247,0.014606471
323727:7236,09/29/18 21:21:14,945,945,0.247403105,0.238883376
323755:7239,09/30/18 12:43:12,703,703,0.220129644,0.211981326
323775:7240,09/30/18 20:33:35,15,15,0.005876876,0.005622063
323778:7240,09/30/18 20:41:26,930,930,0.281737728,0.270127502
323790:7242,10/01/18 08:10:47,798,798,0.253047797,0.242624975
323794:7242,10/01/18 13:29:17,66,66,0.016266486,0.015675003
323841:7245,10/01/18 23:56:54,393,393,0.137416831,0.131412987
323857:7245,10/02/18 02:35:30,356,356,0.098592578,0.095224444
323940:7252,10/03/18 02:47:12,1265,1265,0.347016814,0.332285763
323954:7252,10/03/18 11:06:37,64,64,0.013085149,0.012592210
323980:7253,10/03/18 14:54:19,185,185,0.067786052,0.064525383
323983:7253,10/03/18 16:11:58,180,180,0.058420404,0.055565733
323997:7253,10/03/18 17:30:39,490,490,0.132416616,0.127276719
324021:7256,10/04/18 03:19:57,524,524,0.172137314,0.163530907
324022:7256,10/04/18 06:50:15,553,553,0.131608438,0.127533684
324077:7259,10/04/18 23:49:55,77,77,0.027766813,0.026665482
324201:7264,10/07/18 00:26:17,1250,1250,0.344589786,0.331354527
324202:7264,10/07/18 08:49:38,236,236,0.039740179,0.038885426
324205:7264,10/07/18 10:31:04,160,160,0.023677708,0.022963460
324206:7264,10/07/18 11:38:14,133,133,0.018046575,0.017522834
324207:7264,10/07/18 12:44:24,33,33,0.004195281,0.004054579
324209:7264,10/07/18 13:02:20,142,142,0.016389579,0.016078704
324237:7265,10/07/18 22:24:45,63,63,0.023879167,0.022764849
324245:7266,10/08/18 01:59:05,1576,1576,0.405518544,0.389912481
324293:7270,10/08/18 23:55:38,2124,2124,0.477026590,0.461707591
324315:7271,10/09/18 16:50:47,136,136,0.049712000,0.047402372
324318:7271,10/09/18 17:53:42,325,325,0.102338484,0.098276066
324420:7274,10/11/18 00:26:07,621,621,0.208065228,0.198347571
324729:7308,10/16/18 09:28:04,193,193,0.015342787,0.014796593
324747:7309,10/16/18 13:11:58,922,922,0.267989374,0.256353704
324764:7309,10/16/18 19:54:47,142,142,0.030962188,0.029855649
324765:7309,10/16/18 20:52:50,473,473,0.089617496,0.086840736
324769:7309,10/16/18 23:59:45,322,322,0.047144819,0.045942191
324772:7309,10/17/18 02:48:23,160,160,0.018736306,0.018338418
324785:7310,10/17/18 06:34:19,489,489,0.160684464,0.154542889
324791:7310,10/17/18 10:04:47,1212,1212,0.251758071,0.243925205
324835:7314,10/17/18 23:15:18,138,138,0.050845034,0.044343672
324840:7314,10/18/18 00:41:14,90,90,0.030287132,0.027721689
324841:7314,10/18/18 01:18:35,1335,1335,0.310112047,0.299213457
324846:7314,10/18/18 10:06:07,513,513,0.070370283,0.068420902
324878:7315,10/18/18 16:24:36,1650,1650,0.396665217,0.383070797
324897:7317,10/19/18 07:21:51,36,36,0.013568715,0.012782964
324970:7320,10/19/18 16:52:35,2001,2001,0.430789500,0.414861654
324980:7321,10/20/18 09:20:53,2094,2094,0.470471959,0.451311280
324997:7324,10/21/18 05:08:46,28,28,0.010510976,0.008999755
324998:7324,10/21/18 05:23:14,361,361,0.121186336,0.114235368
324999:7324,10/21/18 07:47:04,14,14,0.004195108,0.003883479
325000:7324,10/21/18 08:03:55,359,359,0.095224467,0.091763761
325001:7324,10/21/18 10:29:40,572,572,0.119328707,0.115204231
325022:7328,10/21/18 23:21:09,279,279,0.057626844,0.056002901
325057:7331,10/22/18 15:01:34,203,203,0.073647755,0.070260933
325099:7333,10/22/18 22:31:41,279,279,0.101533806,0.096988087
325100:7333,10/23/18 00:24:31,252,252,0.078345682,0.074467205
325101:7333,10/23/18 02:07:46,478,478,0.121761778,0.117307043
325110:7333,10/23/18 05:50:07,12,12,0.002543031,0.002428554
325117:7333,10/23/18 07:39:08,530,530,0.087837245,0.085075484
325159:7334,10/23/18 14:48:30,184,184,0.059320098,0.055802337
325168:7334,10/23/18 16:09:33,18,18,0.005526891,0.004288854
325169:7334,10/23/18 16:19:28,23,23,0.006960291,0.005577620
325170:7334,10/23/18 16:31:17,1199,1199,0.271494426,0.262185205
325172:7334,10/24/18 00:23:24,471,471,0.069601940,0.067495487
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#94,222,106404,106404,26.561513834,25.588380801
#Check JSON:
#(run,ls) in json but not in results: []
